epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1772.11,0.47008,0.67768,0.32794,0.87728,1,0.99242,0.995,0.94246,1,0.99242,0.995,0.89682,0.37602,0.57554,0.2428,0.82138,0.000416,0.000416,0.000416
82,1794.57,0.47116,0.69477,0.31917,0.87982,1,0.99293,0.995,0.93973,1,0.99293,0.995,0.89316,0.38204,0.58491,0.23776,0.82172,0.0003962,0.0003962,0.0003962
83,1816.68,0.48309,0.68404,0.31907,0.87876,0.99996,0.99315,0.995,0.95356,0.99996,0.99315,0.995,0.89194,0.35274,0.57112,0.2337,0.80923,0.0003764,0.0003764,0.0003764
84,1838.27,0.45473,0.65886,0.31026,0.87156,1,0.99283,0.995,0.94138,1,0.99283,0.995,0.89527,0.36049,0.57638,0.23111,0.81178,0.0003566,0.0003566,0.0003566
85,1860.74,0.43993,0.64892,0.29911,0.87607,1,0.99264,0.995,0.94447,1,0.99264,0.995,0.89917,0.36474,0.5706,0.2309,0.8143,0.0003368,0.0003368,0.0003368
86,1883.51,0.45202,0.66663,0.31099,0.86764,0.99977,0.99315,0.995,0.94984,0.99977,0.99315,0.995,0.89989,0.3578,0.5608,0.22597,0.81482,0.000317,0.000317,0.000317
87,1905.05,0.44676,0.65311,0.30308,0.87911,1,0.99184,0.995,0.94932,1,0.99184,0.995,0.89622,0.3397,0.56419,0.22479,0.80723,0.0002972,0.0002972,0.0002972
88,1927.3,0.43373,0.62859,0.2943,0.86112,0.9995,0.99315,0.995,0.95037,0.9995,0.99315,0.995,0.89638,0.359,0.57825,0.21483,0.81265,0.0002774,0.0002774,0.0002774
89,1949.67,0.44037,0.65537,0.29912,0.87059,0.99916,0.99315,0.995,0.94615,0.99916,0.99315,0.995,0.8998,0.34986,0.5562,0.21683,0.8111,0.0002576,0.0002576,0.0002576
90,1971.84,0.42591,0.62104,0.29235,0.86818,0.99949,0.99315,0.995,0.95477,0.99949,0.99315,0.995,0.90061,0.35223,0.55311,0.21277,0.80925,0.0002378,0.0002378,0.0002378
91,1994.44,0.31386,0.50537,0.22646,0.82146,0.99958,0.99315,0.995,0.96179,0.99958,0.99315,0.995,0.9005,0.328,0.54178,0.21321,0.8059,0.000218,0.000218,0.000218
92,2016.57,0.3007,0.47442,0.21812,0.80309,0.99946,0.99315,0.995,0.95317,0.99946,0.99315,0.995,0.90556,0.32307,0.52833,0.20585,0.80652,0.0001982,0.0001982,0.0001982
93,2038.37,0.28935,0.45935,0.21681,0.80991,0.9995,0.99315,0.995,0.96227,0.9995,0.99315,0.995,0.91896,0.315,0.51895,0.1984,0.8051,0.0001784,0.0001784,0.0001784
94,2059.42,0.29477,0.45066,0.21767,0.81102,0.99952,0.99315,0.995,0.96309,0.99952,0.99315,0.995,0.91628,0.32584,0.51935,0.20244,0.80591,0.0001586,0.0001586,0.0001586
95,2081.13,0.28583,0.44395,0.21237,0.81343,0.99942,0.99315,0.995,0.96292,0.99942,0.99315,0.995,0.91715,0.32111,0.52105,0.19933,0.80457,0.0001388,0.0001388,0.0001388
96,2102.89,0.27065,0.44305,0.20542,0.81027,0.9995,0.99315,0.995,0.96817,0.9995,0.99315,0.995,0.91394,0.31898,0.53086,0.20303,0.80462,0.000119,0.000119,0.000119
97,2123.95,0.27037,0.4342,0.20469,0.80074,0.99944,0.99315,0.995,0.96319,0.99944,0.99315,0.995,0.92238,0.31174,0.5185,0.1985,0.80281,9.92e-05,9.92e-05,9.92e-05
98,2145.74,0.26134,0.42996,0.19878,0.79357,0.99951,0.99315,0.995,0.97191,0.99951,0.99315,0.995,0.92068,0.3119,0.52641,0.19643,0.80322,7.94e-05,7.94e-05,7.94e-05
99,2167.59,0.2589,0.42618,0.19847,0.79964,0.99952,0.99315,0.995,0.96639,0.99952,0.99315,0.995,0.92934,0.30723,0.52217,0.19429,0.80225,5.96e-05,5.96e-05,5.96e-05
100,2188.63,0.26217,0.42389,0.19423,0.79837,0.99949,0.99315,0.995,0.96632,0.99949,0.99315,0.995,0.92171,0.307,0.52342,0.19065,0.8017,3.98e-05,3.98e-05,3.98e-05
